twitter_user,followers
carlatoscan,9425
jose_simao,5237828
MuseuNacional,68392
IgnacioYbanez,6893
BillClinton,12143643
KatiaAbreu,148995
EmbaixadaChina,73095
pejulio,30663
LSabatella,28456
Refugees,2484984
UN_News_Centre,488005
NewYorker,8922689
sosma,146611
iberethenorio,117576
victorxis,4432
nathfinancas,404963
publico_es,1037630
juremawerneck,15655
rinconsapiencia,98580
PretaRaraRap,2036
malunguinho,31416
pretozeze,36880
ReutersBrasil,353687
GovernoMA,192853
gabriel_chalita,179003
mvbill,260095
CamaraNoticias,171594
DiraPaesCom,303476
MarceloAdnet,3369124
sallyrugg,43611
_pinheira,119914
silviolual,218348
titimuller,547511
SenadorRogerio,17734
augustodeAB,276506
veraholtzirreal,361832
RBandeirantes,249764
Boatosorg,30238
Comprova,31332
UOLEsporte,1163691
SBPCnet,182742
SantanaTiago13,83
casaoswaldocruz,5227
fiocruz,76407
agencia_fiocruz,249637
VianaNatalia,8636
inst_marielle,57588
SarahOliveira,456064
luscas,6691272
CBNoficial,300745
governosp,446764
GabrielaPrioli,976188
showdavida,10176017
TwitterRetweets,157335
BruMarquezine,8776248
oatila,1052667
eurenesilva,215789
franceinter,1546105
RevistaEpoca,2770880
recordtvoficial,4826135
belivaldochagas,5415
RenanFilho_,29326
Jujuca1987,119770
LANACION,3489457
CNNBrasil,888773
AgenciaTelam,646522
elmundoes,3753401
SantiCafiero,236762
SabinaFrederic,67425
BrazilBrian,44470
fernandogallo,3454
LemusteleSUR,16996
bollemdb,150885
CamiloSantanaCE,115634
AsambleaCuba,63684
laressa,62944
JamilChade,93397
DIEZEIT,356599
MonjaCoenReal,18379
IndustriALL_GU,16546
FESonline,25070
fotermin,10386
NowaboFM,44175
nikhilgoya_l,15756
FahimiYasmin,808
b_riexinger,36557
dieLinke,299940
Spolitik,54186
GuyRyder,28457
OITBrasil,4111
RTSinfo,142997
DariusRochebin,114666
_lucasfigueired,2797
GusLanzetta,29246
RemiFeraud,18089
UNCTAD,170681
franceinfo,1681299
luisamarilaccc,16193
KastingCarolina,17923
PaulineVeron,11826
ACORDEBARD,12582
EnricoLetta,573715
dassouline,28053
mariabopp,112590
PCF,51559
Fabien_Rssl,16745
Denis_Baupin,17386
PSEinfo,8194
EHESS_fr,32362
WIL_inequality,11155
PikettyLeMonde,152867
wccpilgrimage,4072
OlavTveit,4785
Oikoumene,29115
ParisEnCommun,10409
cgilnazionale,73281
robersperanza,92181
BabuSantana,1091083
arletesampaio,7526
conectas,18354
renatasouzario,38517
justicaglobal,17389
UOLPolitica,75146
leandraleal,853094
Nandacostareal,592284
AroeiraCartum,40367
chaysuede,1628371
BernardoMF,158837
tati_bernardi,305166
ReginaCase,1353863
reinaldoazevedo,874619
g1politica,295296
felipesantacruz,1805
GreenpeaceBR,1902165
pefabiodemelo,8043338
sextaNoticias,1150325
zdoficial,446215
souguereira,28272
professorabebel,3124
odaircunhamg,3698
edugoldenberg,22080
linsaquiles,5917
meteoro_br,135182
ObjetivoLaSexta,341867
laSextaTV,1034014
WHO,8201066
obede,1444
_anapastor_,2059558
rtve,1178489
TV_Publica,963038
vozdacomunidade,406929
bellagoncalvs,11847
andreiadejesuus,12304
FalabellaCida,21754
boye_g,209822
BrianMteleSUR,5103
prof_rosaneide,9277
ninaturner,372907
TheOliverStone,162560
RodLago,31926
oguardingo,10047
ganyet,37246
krystalball,390346
sunraysunray,77297
WalkerBragman,38839
kenklippenstein,300553
tmbsfm,35425
silveropereira,30130
JacobinBrasil,21665
BrasilWire,17234
Daniel_IV_,5295
NomikiKonst,132071
GravelInstitute,193146
martin_caparros,172349
harari_yuval,347762
DanielYergin,24678
depzeneto,10242
deppauloguedes,7811
DiazCanelB,358428
maisa,8680330
whindersson,17104947
folha_poder,458469
fmei7777,76786
JulianAssange_,203494
BBCBreaking,44923471
CNN,49494904
nytimesworld,2065519
cnni,11089970
WSJ,17954771
AP,14376711
Reuters,22234588
ForeignPolicy,1135051
MarkRuffalo,6756593
g1brasil,493581
CNJ_oficial,868181
NoticiasONU,318619
ONU_es,1592294
bbcmundo,4072110
CorteIDH,391630
ONU_derechos,791047
EFEnoticias,1802567
AFPespanol,449641
CNNEE,18949383
BBCNews,11191239
guardiannews,3358445
NetflixBrasil,10111307
jonleeanderson,64023
FranciscoProner,618
carlosgabas,2230
jenarovillamil,534184
alexalmeidapt,1144
aureacarolinax,79363
lucindaelisa,18580
LEBasterra,13356
Martin_M_Guzman,158684
LicDanielArroyo,123348
larrouturou,39881
zeluizlhesdiz,132935
paulonbjr,6130
alferdezprensa,276956
soutamires_sp,4660
PatrickLeHyaric,13162
maritegon,13395
ZSantossaz,42370
ilo,167765
UNICEF,8352810
Moreno_Veloso,5345
zecapagodinho,487356
Dep_ZeCarlosPT,4395
tuliogadelha,133382
naiaragg,8080
TerezaCruvinel,28034
vluxemburgo,509373
WilsonRamosFil3,1941
albertocalmeida,37182
ValeskaZanin,3005
LuisCValois,66275
LenioStreck,36257
Alma_Preta,75749
TwitterMoments,797132
TssiaC,21121
wikileaks,5610047
randolfeap,180962
leonardo_stoppa,25844
Marcelodedois,1106404
TUCGlobal,11450
RafaelValim7,8118
Savagefiction,137199
jmgermain,13457
obsclima,49949
SamCowie84,15173
Underground_RT,29568
lelispatricia,132253
martasuplicy_,64317
JoaoCampos,5334
tsipras_eu,314465
MussumAlive,202213
Jefferson_PT,4799
Omardeideais,8874
FAO,389063
GarciaLinera,29699
AdaColau,910585
People4Bernie,238676
k_satyarthi,2191055
ponchohd,1858988
CarlosLupiPDT,14884
catarina_mart,84487
Debora_D_Diniz,142270
robertinocarles,33570
nelsonhbarbosa,28034
LiraNeto_,27622
RoKhanna,216489
MMFlint,6093176
GretaThunberg,4156478
UAW,61387
GaelGarciaB,2504993
brutofficiel,575236
cacassao,281
UKLabour,883359
jeremycorbyn,2429158
AnaTeresitaGF,18342
aliciabarcena,30916
joseggusmao,12264
Almagro_OEA2015,1430033
EmersonAnomia,77007
JustinTrudeau,5111970
SenWarren,6097552
giulianopisapia,317526
KatrinaNation,183059
Dmartinez_uy,132240
flaviovmcosta,9880
UOLNoticias,3416343
rtppt,509901
BardoOmar,67354
FRANCE24,3416750
AttuchLeonardo,70856
dudabeat,65581
jdornelles,11657
PKlugman,7263
RobiBaradel,82549
CTAok,41180
Paris,2126687
Anne_Hidalgo,1501170
ActualidadRT,3530240
PortalMigalhas,73561
eduardomoreira,145519
JanjaLula,43370
paulocoelho,15513450
compartycanada,19327
PCO29,16193
brunnosarttori,176190
biazitagomes,18565
ProgresaLatam,33384
hilde_angel,92593
sulvinteum,35200
congemfoco,246880
ONUMulheresBR,28682
antonioprata,286810
sensacionalista,2133374
Metropoles,308089
PDT_Nacional,115142
djamila_ribeiro,3646
Snowden,4317872
SenadoFederal,998478
NPTO,63280
alessandromolon,299962
samadeu,22946
anaprestes,4658
fernandosolanas,314291
ufabc,6384
MarinaSilva,2082227
socioambiental,61525
ALeaument,28957
deputesPCF,10883
AQuatennens,92803
operamundi,73622
FabioAssuncao,143458
PauloCamara40,15420
laurentinogomes,99448
will__grant,7512
amandafaudi,129481
fredmelopaiva,50219
fernandeznorona,397693
grcarmonac,16901
mbompard,39787
FranceInsoumise,105796
NaomiAKlein,654269
MaraTellesReal,45923
carlosveraspt,4369
vijayprashad,51299
felipeoabrj,71930
pagina12,362412
delRioPilar,39774
alferdez,1855522
mombojo,23903
guardian,9031948
Independent,3312718
mari_une,715
MayoralRafa,102876
pirescarol,51305
psolnacamara,51664
joseamerico_sp,4649
LatuffCartoons,106306
DanielaLima_,152001
domphillips,26918
camposmello,172610
JesseSouzaecht,78359
bragasonia,84617
FabioPorchat,8743761
Estadao,6870153
UOL,1688176
valoreconomico,2389920
JornalOGlobo,6489865
correio,774462
washingtonpost,16208756
TheEconomist,24937150
Poder360,82213
AOC,8228984
franca_rodrigo,122047
piedadcordoba,758455
JohnMAckerman,828279
mariomagalhaes_,55874
aniellefranco,93337
jacobinmag,298578
demori,260120
GUENGL,38003
Hugo_Gutierrez_,126502
FaleiroAirton,5453
spartakusvlog,54142
tutameiatv,829
