twitter_user,followers
GidaltiAlencar,31733
SargentoFAHUR,625921
DesComuna,1597
JoaquinTeixeira,243704
nostrendsbrasil,223894
GabrielaCPaula,66
PrMocellin,6257
tradutores_br,78784
brinosa23,17991
romulomendonca,325920
carteiroreaca,203173
gazetadopovo,475567
CBNoficial,300747
Francischini_,405744
EderMauroPA,76253
GFiuza_Oficial,547281
DesumanizaRedes,40443
Biakicis,683233
aeciofaraujo,53459
escolasempartid,122929
revoltadoonline,53913
LoveLifLiberty,2299
andersonbravopr,14056
blitz_digital,1504
tercalivre,374926
ANEPF_BR,946
DireitaInFoco,6481
onyxlorenzoni,746375
marianabritosl,59664
gacasp,733
alunodehistoria,3393
MarioSperry,7729
ronaldocaiado,533401
DireitaJaBR,2286
endireitabrasil,13643
JornalismoSBTSC,13199
allanldsantos,186904
fitzca,35573
KissAppSL,451570
SaraTimes,707690
apponeplus,733041
joaquimboficial,591129
Ganchodedireita,9458
midiasemmascara,86224
CHEREACA,6625
marisa_lobo,102628
Conserv_I,20658
Conserv_II,35058
GarotasDireitas,2513
PauloMartins10,273611
roxmo,1014822
DefesaHetero,8243
DireitaBrasil,81480
BoletimPolicial,20057
BereniceSearaEx,6068
PoliticaNaWeb,4987
PM_RJ,32415
FilosOlavo,13504
Corrup_Nao,122
ContraPL122,50591
GuerreiraLu,87
PastorMalafaia,1455670
OdeCarvalho,724448
EuSouHetero,634
disquetransito,3608
marcofeliciano,659680
ComandanteDuton,74
coroneldoblog,23730
ong_maoslimpas,685
benebarbosa_mvb,351795
gilda_ache,657
horaciocb,4554
robertatrindade,7357
BlogdoAmorim,24531
g1planbizarro,103486
CHFACH,2200
PracasdaPMERJ,1589
SindSeap,721
politica_brasil,473
ClaudiaCataldi,2717
Gru_Gru,135
Bluesettte22,10544
yoanisanchez,745119
stivecombr,4610
drjorgemanaia,11120
OficiaisdaPMERJ,2353
IndignadoRJ,173805
Direita_Network,29156
jairbolsonaro,6670385
correiodobrasil,33410
g1politica,295302
OGlobo_Rio,1058136
bocadesabao,6880
congemfoco,246883
gabeiracombr,269313
BolsonaroSP,2021835
dep_clarissa,15092
MessinaOficial,21463
camilocoelho,3654
jornaldacbn,556335
JornalOGlobo,6489831
Ancelmocom,1365174
jornalextra,1008349
Desig_Digit,487
eduardopaes_,489717
FlavioBolsonaro,1587618
